document_id,cleaned Review text,sentiment
1,the good brilliant actor leonardo di caprio robert deniro acting quite well not extraordinary well really deliver solid performance it always joy watch performthe bad movie last way too long come hour minute beware aint gripping masterpiece aint fastpaced spectacle aint visceral drama it merely slowburning portrait already wearing patience thin half hourthe first minute story get see nothing else money hungry men marying indian woman land rich oil married slowly poison indian wife altered medicine make terminally ill and die oil rich land copy repeat on plot may sound vicious intrigueing oppositehow director martin scorsese manage ruin devestating story by simply not restraining time and injecting true drama thrill it toddles along only hour pace take spark punch experiencedthere fault martin scorsese direction his choice editing photography soundscore usual level quality directing not terrible quite average martin scorsese movie used wild dangerous fast none seen killer flower moondisappointed not terrible flick merely tedious one thats huge pity talent money available potential make something truly greatthank reading th review imdb,neutral
2,killer flower moon western crime drama film cowritten directed martin scorsese based nonfiction book name david grann starring leonardo dicaprio robert de niro lily gladstone touch upon often overlooked piece american history best way possible thanks talent director castin early discovery oil land belonging native american osage nation turn tribe richest people world this sudden acquisition wealth attracts attention white businessmen looking seize opportunity stealing much osage tribe possible among group interloper ernest burkhart leonardo dicaprio upon arriving oklahoma encouraged uncle william king hale robert de niro marry member osage way inheriting fortune ernest soon fall love later marries mollie lily gladstone young osage woman strong tie family rich a white occupation native land continues member osage tribe repeatedly found murdered mysterious circumstance molly close family among prominent victimsone favourite thing movie addition enjoyable mean entertainment also function great method preservation no matter obscure topic may film made released mainstream already permanently preserved way this especially effective filmmaker belief people made aware something may otherwise forgotten time helped maintain relevance general public one event often glanced osage indian murder series slaying wealthy member native american osage tribe early th century however thanks martin scorsese film killer flower moon audience chance educated entertained overlooked historical occurrence movie provides sophisticated eyeopening look america treatment one particular group indigenous populationmuch like scorsese best known work film framed epic indepth study dark side human nature we watch osage tribe live harmony among forcibly thrust sight outside world oil found land in spite vast wealth accumulated osage unable hold back large tide white people showing attempting steal away everything rightly because tribe happy existence compromised subjected frequent discrimination first verbal physical it see sinister plan william king hale come play marries nephew ernest osage way pilfering rich time right what make scheme intriguing watch patience required pull ethical ramification result only filmmaker like scorsese could explore topic like complexity style remains timeless everadditionally almost scorsese visual trademark director full display wideopen cinematography designed immerse audience world america creative framing character shot give certain perspective scene one particular stood conversation ernest william discus business regarding osage we see two seated inside darkly lit room discussing type future lie ahead entire tribe ernest choosing remain loyal osage wife mollie uncle william reminds nephew important reason married first place here scorsese place character way make look place inside single bright spot dark room the darkness surrounding two likened perfect visual representation true intention supposed brightness focused actuality metaphor tainted presence everything osage created pointdue scale theme plotting film rightfully earns long runtime almost three half hour minute total this many different facet explore character action resulting consequence make compelling viewing experience while i personally think made film interesting watch im entirely sure said casual viewer the film pacing intentionally slow mean build tension air i believe work rather effectively minimal musical score used method showcase realistic point view scene raw emotion in word film requires patience attentive mind something greatly rewarded anybody manages display virtue to effect scorsese made film heavily reliant atmosphere rather frequent action hollywood blockbustersin sixth collaboration legendary director leonardo dicaprio delivers yet another memorable performance role ernest burkhart what make dicaprios character intriguing indecisive nature torn supporting white family osage wife mollie on one hand ernests loyalty towards birth family made go ahead uncle idea first place hand truly fall mollie can not bring end along entire tribe dicaprio display signature range emotion alternating strong family man submissive weakling uncle bidding pull quite effectivelyafter working ten film together robert de niro step back usual spot scorsese lead supporting role william king hale essentially main antagonist story hale man determined weasel way wealth regardless whether truly earned his intention malicious meant serve personal gain little regard wellbeing others even nephew what i consider worst character trait belief action justified bible say spreading word god his claim god want participate genocide entire race people nothing short evil demonstrates numerous point throughout film a role like perfect actor like robert de niro better director show world martin scorsesehowever film true standout would lily gladstone mollie truly heart soul story here woman experienced much pain heartbreak life whether physical ailment sudden death relative yet despite hardship mollie remains steadfast ever choosing loving wife husband caring mother young child mollie essentially represents positive value tribe upholds among last family hasnt completely sold ideal rich lifestyle this easily career defining role gladstone certainly potential noteworthy star one dayfor american history buff martin scorsese fan killer flower moon represents fascinating look best world it brings attention often neglected historical issue use another wellcrafted cinematic addition beloved filmmaking veteran library a mentioned previously nice know story effectively preserved medium film mean future generation able watch back learn horrific event took place time period after classic saying go dont learn history doomed repeat iti rate solid,positive
3,leonardo di caprio return world war one oklahoma oil made osage indian rich after long meandering talk uncle robert de niro di caprio run taxi pick lily gladstone pureblood osage begin drive regularly they fall love eventually three child someone busy killing osage indiansthis scorsese movie stellar cast impeccably written directed shot i dont know thelma schoonmaker scorsese longtime editor at three hour wrap tenminute epilogue presented episode gangbusters talking everyone wound spending rest life it go long movie least movie without break this upside downside company like amazon netflix wherewithal tempt great film maker large gob money because viewer home watch movie like leisure taking time go bath room meal forth made there need edit what could cut reasonable length without dicaprios army career finding lived trailer final year left audience bladder telling time leave story what would made fine miniseries television must watched one go movie theater trapped gorgeous image fact every minute screen time cut two point iq dicaprios characterits movie really seen theater size audience yet make impossible,positive
4,oil discovered osage nation land late th century oklahoma it the oil company moved osage people richest folk world all wealth attracts lot worker capitalist criminal general scammer everybody looking get piece indian oil pie war veteran ernest burkhart leo dicaprio return join brother byron uncle william hale robert de niro william become wealthy leader town family friend worm way native community he known king hale ingratiated tribe he directs ernest woo marry mollie lily gladstone shy sickly native womani put watching long possible i dont want spend three hour watching evil people stealing helpless indian folk a i started watching phrase pop mind this stealing candy baby fun time watch it tough watch two hour i find stopping multitasking ipad when fbi show becomes tradition howcatchem thats little bit watchable i dont stop anymore this would great two hour mystery movie fbi martin scorsese probably want native character time he shy making character evil leo something like brando i dont like it seems much fitting handsome leo mollie would powerless charm a mollie cluelessness rather frustrating there denying scorsese filmmaking mastery sincere intention the first two hour grind still rewarding watch,negative
5,some film warrant long runtimes epic like lawrence arabia da boot three hour length rocket along brisk pace largely fastidious editing the duration picture necessary one could argue tell story without sacrificing detail coherence excitement then film like heaven gate also runtime three hour bloated selfindulgent unaffecting watch thanks director michael ciminos arrogant refusal cut anythingmartin scorsese killer flower moon teeter somewhere camp it element deserving high praise inarguably long pacing structural narrative issue galore based nonfiction novel name david grann film center emmet burkhart simpleminded world war i veteran return the osage nation home uncle william king hale there emmet fall osage named mollie uncle tell set inherit much people oil headrights meanwhile someone killing wealthy osage area look like molly family might nexton paper sound like fascinating exciting picture dash psychological intrigue however scorsese version tale dour swollen predictable granns riveting story transformed formulaic meditation moral corruption greed lacking kind suspense momentum screenwriter scorsese eric roth cram much narrative namely many character unnecessary scene leading redundant dialogue vice versa they scrabble end proceeding neatly dont preferring hastily sum event rather let play outhad scorsese longtime collaborator thelma schoonmaker active editing booth thing could different there brilliant sequence movie fact first third engaging intriguing the mystery successfully set location established character introduced thing start going downhill the pacing slows crawl remainder runtime end course rush sloppy conclusion beyond pacing fundamental flaw editingwise inexplicable considering scorsese schoonmakers prestigefor example seemingly important character introduced disappear long stretch time similarly fate character either driven home multiple time overlooked leaving u dark furthermore time cut occur someone opening mouth speak all including fact runtime could easily trimmed forty minute without negatively affecting narrative amateur work far scorsese schoonmakers levelthis say however killer flower moon without redeeming element to make film cultural appropriation always cause worthy commendation matter effectiveness scorsese also applauded trying something new although fails deliver compelling insightful story exploitation osage people the film doesnt explore historical cultural context osage nation psychological emotional impact murder survivorsscorsese roth narrative also fails challenge stereotype prejudice white character towards osage systemic injustice face their characterisation lack depth nuance relying familiar trope cliched attitude had focused perspective agency osage rather corrupt inept white character scorsese could masterpiece handsconversely rodrigo prietos cinematography evocative enchanting it make stunning watch proving scorsese eye visuals blinded under scorsese direction prieto capture beauty brutality oklahoma landscape astutely jack fisks detailed production design lends proceeding authenticity textural richness adam willis set decoration jacqueline west costume design compoundsmoreover late great robbie robertson score striking bearing resemblance work ry cooder full sleazy slide guitar indian chant complement narrative perfectly the inclusion periodaccurate song also lends movie dose realism time baz luhrmann insists bizarrely using modern music period piece welcome the last project robertson worked death contribution picture act powerful swansongleonardo dicaprio star emmet alongside lily gladstone mollie robert deniro king hale dicaprio ability turn brilliant performance take page daniel day lewis playbook intense acting must surely best dicaprio spends whole film frowning scrunching mouth completely overdoing character expression eccentricity in first third bit range though latter two third give tonally one note performanceas lily gladstone initially creates mollie nuanced witty character see people she doesnt suffer fool find compelling captivating however first third film becomes subservient unquestioning dull medicinal reason shall say slowed deniro part play king hale like evil george burn manipulative darkly funny morally bereft anytime he screen film joy he best thing itthey supported large cast talented actor great work ty mitchell excellent john poor man drawn emmet king hale plan dignity combined jesse plemons typically fine work fbi man tom white louis cancelmi seedily slick kelsie morrison stooge king hale on hand like cara jade myers molly alcoholic sister brendan fraser thankfully small role king hale lawyer miscast top distract everything going around themits sad indictment film central message summed succinctly dean martin song the money song them get the le need love such thesis film greed spread like plague richer greedier it original profound tale told much impactfully back mervyn leroys the fbi storyat end day killer flower moon truncated adaptation great nonfiction book overlong devoid original meaningful message despite stellar cinematography evocative score powerful performance martin scorsese killer flower moon underwhelming disappointment,positive
6,martin scorsese follows sloppy the irishman another excursion indulgence overnarration for three half hour tell story osage indian murder osage county oklahoma beginning th century cinematic work visual retelling literature the narrative unfocused longwinded loquacious watching movie like listening busker going repetitiously hour end and story although fascinating enough historical context unappealing revisionist whiff often reduced simple usandthem dichotomy scorsese keep pounding narrative drum like aforementioned busker the killer flower moon never becomes grandiose epic drama purport desperately lack subtlety the performance could good tighter focused movie de niro onto something unique ageing selfrighteous patriarch william hale,negative
7,obviously isnt bad it amazing director interesting story now thats way this worst way tell story it pov fbi thats thing got interesting telling story chronological order wasnt interesting it would better hear investigate info waiting discovered in order random thing happen along story didnt deserve much timefollowing leo wasnt interesting enough hold two hour wa supposed heart breaking sad i dont know but wasnt enough going fill plot the fbi get team looked cool it would much shocking hear murder really driven point home instead kinda experiencing itit slow too slow i worried hour i didnt realize going feel like the irishman slow movie isnt boring and movie boring it slow boring i kept waiting get going never the slow pacing disadvantage movie made lose interest and made much aware length i kept thinking much longer going i think kept shooting ran film,negative
8,im diehard martin scorsese fan i deep appreciation movie others dont quite resonate this particular film fell somewhere middle meconsidering extensive threehour runtime pacing held well i never found bored though i cant say i thoroughly thrilled either there moment seemed like conversation lacked significant impact narrative the movie truly hit stride final third tension escalates significantlythe acting across board outstanding especially lead cast dicaprio de niro always delivered great performance ive become fan lily gladstone the visual set design also topnotchi believe important story skillfully told while i dont strong urge watch im glad i chance see,positive
9,first thing first there absolutely need ½ hour long it follows story ambitious ernest leonardo dicaprio arrives osage home venal uncle king robert de niro encourages ingratiate wealthy indigenous population he end meeting driving independent nononsense mollie lily gladstone start fall charismatic charm fall love marry though love wife ernest prof rather fickle violent man love money behest outwardly benign relative start implement scheme ensure right oil well head move swiftly frequently brutally suitable owner this sudden spate accident killing prudent action fearful local council alert authority washington despatch team fbi agent led tenacious white jesse plemons get bottom thing perhaps king house card might becoming precarious dicaprio effective he play well man juggle internal demon conflict cleverly manipulated onform slightly menacing de niro it gladstone steal show though she play role decent loving shrewd savvy mollie strongly a start become victim husband avarice exudes sense desperation pleading dignified struggle potently illustrative far white man prepared go get keep money the film beautifully shot plausible look help generate audience true sense outwardly genteel civilised society really anything writing clearly interweaves clandestine aspect plot noble one perhaps sacrilegious say though time really drag i felt could easily lost hour condensed story immersed u quickly characterisation really suffered it good film great film unlike scorsese far better irishman im sure i rush watch,positive
10,well real snorerscorsese took taut thriller book detailing horrific crime osage tribe oklahoma turned boring history lesson hour long i almost fell asleep twicemoreover significantly changed fact bad guy sniffed in reality j edgar hoover texas ranger tom white went undercover significant risk life root evil mastermind henchmenwhy screw masterpiece writing this could nailbiting thriller exposing terrible episode american history the decision dumb actual suspense situation poor one sadly film bypass generation moviegoer given film watch rewatchgo read book instead,negative
